,0,1,2,3,4,5,6,7,8,9,10
0,0.0,3.3784826,2.7240446,1.703751,2.6780496,1.9671007,1.4290012,2.8963661,1.856027,1.7757168,1.9910306
1,3.3784826,0.0,5.1592,4.002325,3.634686,3.3502622,4.317731,5.1268573,3.03049,3.6032948,3.0802195
2,2.7240446,5.1592,0.0,1.3457224,1.138587,1.2742001,2.245721,2.8562477,1.3718058,1.1731182,2.6841075
3,1.703751,4.002325,1.3457224,0.0,1.1936162,1.0365714,0.8529995,2.1272182,0.9053055,0.70732135,0.678883
4,2.6780496,3.634686,1.138587,1.1936162,0.0,0.70750517,2.4029615,2.6310298,1.2256271,1.0008631,2.0631766
5,1.9671007,3.3502622,1.2742001,1.0365714,0.70750517,0.0,1.6178439,1.9482437,0.7757123,0.6199899,1.5014267
6,1.4290012,4.317731,2.245721,0.8529995,2.4029615,1.6178439,0.0,2.1953049,1.4987196,1.1453303,1.7936519
7,2.8963661,5.1268573,2.8562477,2.1272182,2.6310298,1.9482437,2.1953049,0.0,2.2647703,2.031247,1.9387213
8,1.856027,3.03049,1.3718058,0.9053055,1.2256271,0.7757123,1.4987196,2.2647703,0.0,0.95085156,1.3516029
9,1.7757168,3.6032948,1.1731182,0.70732135,1.0008631,0.6199899,1.1453303,2.031247,0.95085156,0.0,1.3708477
10,1.9910306,3.0802195,2.6841075,0.678883,2.0631766,1.5014267,1.7936519,1.9387213,1.3516029,1.3708477,0.0
