,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,13.365539,13.110962,12.854453,12.921131,12.191314,21.415611,12.733444,14.114706,12.763554,5.482143,19.195858,12.857815,13.989139,12.654669,13.018251
1,13.365539,0.0,4.417952,20.540802,20.04195,19.898201,11.983001,6.634837,4.7223315,20.65298,12.375586,11.464045,5.045239,21.388561,20.531204,20.225685
2,13.110962,4.417952,0.0,19.720646,19.409222,19.305586,12.24839,5.877595,5.478791,19.962322,11.854759,11.384998,5.183367,20.82204,19.879326,19.258467
3,12.854453,20.540802,19.720646,0.0,6.8393874,6.0438023,14.20801,20.220476,21.580988,6.4600964,12.712931,13.1615305,19.289255,7.033864,6.9618278,5.2838135
4,12.921131,20.04195,19.409222,6.8393874,0.0,3.9941773,11.636655,20.601795,21.536743,3.954962,12.471396,11.427814,19.142756,3.7116303,3.5073738,6.2582
5,12.191314,19.898201,19.305586,6.0438023,3.9941773,0.0,12.428565,20.288788,21.258774,3.9780874,11.877979,12.21701,18.951115,4.285806,3.792008,5.579074
6,21.415611,11.983001,12.24839,14.20801,11.636655,12.428565,0.0,14.809508,12.938215,12.44972,20.40984,4.8896294,12.676243,11.864044,12.30194,13.591757
7,12.733444,6.634837,5.877595,20.220476,20.601795,20.288788,14.809508,0.0,6.562669,21.077934,11.438636,13.57909,5.9255514,21.959103,21.188374,20.111176
8,14.114706,4.7223315,5.478791,21.580988,21.536743,21.258774,12.938215,6.562669,0.0,22.091131,12.965673,12.659724,5.7155347,22.875488,22.018837,21.548088
9,12.763554,20.65298,19.962322,6.4600964,3.954962,3.9780874,12.44972,21.077934,22.091131,0.0,12.718773,12.381078,19.77615,3.860383,2.8954182,5.6248016
10,5.482143,12.375586,11.854759,12.712931,12.471396,11.877979,20.40984,11.438636,12.965673,12.718773,0.0,18.132988,11.417173,13.581811,12.485104,12.460446
11,19.195858,11.464045,11.384998,13.1615305,11.427814,12.21701,4.8896294,13.57909,12.659724,12.381078,18.132988,0.0,11.146225,12.545486,12.429584,12.852253
12,12.857815,5.045239,5.183367,19.289255,19.142756,18.951115,12.676243,5.9255514,5.7155347,19.77615,11.417173,11.146225,0.0,20.580269,19.74223,19.1213
13,13.989139,21.388561,20.82204,7.033864,3.7116303,4.285806,11.864044,21.959103,22.875488,3.860383,13.581811,12.545486,20.580269,0.0,3.6645918,6.4450006
14,12.654669,20.531204,19.879326,6.9618278,3.5073738,3.792008,12.30194,21.188374,22.018837,2.8954182,12.485104,12.429584,19.74223,3.6645918,0.0,5.8498907
15,13.018251,20.225685,19.258467,5.2838135,6.2582,5.579074,13.591757,20.111176,21.548088,5.6248016,12.460446,12.852253,19.1213,6.4450006,5.8498907,0.0
