,0,1,2,3,4,5,6,7,8,9,10
0,0.0,22.616896,17.372498,16.290571,18.130884,17.70806,16.61327,19.51549,18.839308,18.453856,15.7354355
1,22.616896,0.0,25.605902,24.75155,26.19203,26.514265,23.726881,26.312525,26.308447,26.486807,24.629286
2,17.372498,25.605902,0.0,13.106178,13.444419,14.780146,13.514327,14.047824,14.792029,13.0012665,12.432932
3,16.290571,24.75155,13.106178,0.0,11.735441,12.296432,12.806612,14.095179,13.275599,12.592261,11.744007
4,18.130884,26.19203,13.444419,11.735441,0.0,10.989678,14.499657,14.0345335,13.380813,11.307756,11.610106
5,17.70806,26.514265,14.780146,12.296432,10.989678,0.0,14.623835,14.195342,12.662236,13.040306,12.796982
6,16.61327,23.726881,13.514327,12.806612,14.499657,14.623835,0.0,15.181113,14.257217,15.658317,13.38653
7,19.51549,26.312525,14.047824,14.095179,14.0345335,14.195342,15.181113,0.0,14.603164,13.783648,13.169375
8,18.839308,26.308447,14.792029,13.275599,13.380813,12.662236,14.257217,14.603164,0.0,13.864718,14.518012
9,18.453856,26.486807,13.0012665,12.592261,11.307756,13.040306,15.658317,13.783648,13.864718,0.0,12.285605
10,15.7354355,24.629286,12.432932,11.744007,11.610106,12.796982,13.38653,13.169375,14.518012,12.285605,0.0
