,0,1,2,3,4,5,6,7,8,9,10
0,0.0,3.114403,2.3144226,2.2055528,2.6452978,2.3647096,1.9829419,2.5580842,2.1887736,2.135812,1.8931545
1,3.114403,0.0,2.8975677,2.7847512,2.7581537,3.0556335,2.605573,2.96573,2.287717,2.6468723,3.0915387
2,2.3144226,2.8975677,0.0,1.9673954,1.8615509,1.6135706,2.4373922,2.633228,1.6911248,1.6324886,1.8990525
3,2.2055528,2.7847512,1.9673954,0.0,1.698733,1.6513821,2.1031196,2.456824,1.6680777,1.5715469,1.5106004
4,2.6452978,2.7581537,1.8615509,1.698733,0.0,1.4759127,2.6128733,2.568855,1.3971053,1.523304,2.2852395
5,2.3647096,3.0556335,1.6135706,1.6513821,1.4759127,0.0,2.4581912,2.6303442,1.696802,1.5283674,1.9563011
6,1.9829419,2.605573,2.4373922,2.1031196,2.6128733,2.4581912,0.0,2.4744184,2.2249236,2.4458082,1.9646772
7,2.5580842,2.96573,2.633228,2.456824,2.568855,2.6303442,2.4744184,0.0,2.2835486,2.5511577,2.3197393
8,2.1887736,2.287717,1.6911248,1.6680777,1.3971053,1.696802,2.2249236,2.2835486,0.0,1.5245218,1.8991085
9,2.135812,2.6468723,1.6324886,1.5715469,1.523304,1.5283674,2.4458082,2.5511577,1.5245218,0.0,1.8470885
10,1.8931545,3.0915387,1.8990525,1.5106004,2.2852395,1.9563011,1.9646772,2.3197393,1.8991085,1.8470885,0.0
